,en
story.Prologue_Hallway.event_exit_2.choice.b720077b964126f5b75ee3185d5deb031f494706,"No, let's stay"
story.Prologue_Hallway.event_lockpick_closet_fail.text.6eae3a5b062c6d0d79f070c26e6d62486b40cb46,...
story.Prologue_Hallway.event_lockpick_closet_success.text.f79c8d11189f1dbf961110f8c8a9fab86c46107b,The door unlocked!
story.Prologue_Hallway.event_lockpick_theater_fail.text.6eae3a5b062c6d0d79f070c26e6d62486b40cb46,...
story.Prologue_Hallway.event_lockpick_theater_fail.text.dda80c8b79e331c1ed166f893a63d9cd5e8285f0,"Well, that didn't go as planned."
story.Prologue_Hallway.event_see_closet_door.text.a17c7690aeab045d071cab3c08f4d4c2f4344a99,This room is...
story.Prologue_Hallway.event_see_closet_door.text.72bdf46f82455dcaa2b3b971969984b90e60fc50,"What IS this room, anyways?"
story.Prologue_Hallway.event_see_closet_door.text.8457cb82ae8c79e300c75bf5d15437dfc026b3b8,I don't think I've ever seen anybody use it.
story.Prologue_Hallway.event_see_closet_door.text.6f04e8684c494f9f89e543aa4318cabb0b86fcb9,Me neither.
story.Prologue_Hallway.event_see_closet_door.text.553bdcb657e76b6dd77cc1d66e534436752993b2,"Say, why don't we check it out?"
story.Prologue_Hallway.event_see_closet_door.text.974d6215b516f92ee6b086303edd10edb1ac55d1,You want to break into this room...?
story.Prologue_Hallway.event_see_closet_door.text.71a3b0540eaa26c2e68dbb0c4f05633ab0cfcec5,Why not? Can't be any worse than trying a silly ritual.
story.Prologue_Hallway.event_see_closet_door.text.48fe5a4bc773af7503bf2d1463dc58f7444af3ef,I hope it's safe...
story.Prologue_Hallway.event_see_closet_door.text.7b88d60bf7db6da624f0635e62bfb8e343757f50,"We would need a way to open it, though."
story.Prologue_Hallway.event_see_closet_door.text.eada98214a0f210eab93a8b93b29246435326c23,We're counting on you.
story.Prologue_Hallway.event_see_closet_door.text.170b0e4e470ef1983704c1cfb289ab0efb8436ab,"You can do it, Kat."
story.Prologue_Hallway.event_see_closet_door.text.d368cd6ca1776ce3f28d302d71f96cf5149fc69a,I never said-
story.Prologue_Hallway.event_see_closet_door.text.30ff5db18c209a4fdc670036b587b020bcd7b8e5,"Geez, fine."
story.Prologue_Hallway.event_theater_door_unlock.text.f79c8d11189f1dbf961110f8c8a9fab86c46107b,The door unlocked!
story.Prologue_Hallway.item_hairpin_on_door_closet.text.30f6726025ad0e27cae6960152f74866e78dd122,I'm really curious as to what's behind this door...
story.Prologue_Hallway.item_hairpin_on_door_closet.text.b7fd5715a3202e03aee35ff7ba1e84695154d1ff,But I don't have time for this right now.
story.Prologue_Hallway.item_hairpin_on_door_closet.text.0e0faa8ef50d64f9e6c614e97cfde531cb0a8012,It's already open.
story.Prologue_Hallway.item_hairpin_on_door_closet.text.78ec0fc84c5e6461d575f11637281ea40c00a027,You can't do that anymore.
story.Prologue_Hallway.item_hairpin_on_door_theater.text.5307874866c94d77b2cb6e815f105d21f3bfc1aa,I've gotta get in somehow.
story.Prologue_Hallway.item_hairpin_on_door_theater.choice.text.69e51834a8d4652070d6a410125e9540ca193851,Should I try to pick the lock?
story.Prologue_Hallway.item_hairpin_on_door_theater.choice.5397e0583f14f6c88de06b1ef28f460a1fb5b0ae,Yes
story.Prologue_Hallway.item_hairpin_on_door_theater.choice.816c52fd2bdd94a63cd0944823a6c0aa9384c103,No
story.Prologue_Hallway.item_hairpin_on_door_theater.text.374253f6bf0eb6e4f7eea8972a12655369af460b,Let's give it a shot.
story.Prologue_Hallway.item_hairpin_on_door_theater.text.0e0faa8ef50d64f9e6c614e97cfde531cb0a8012,It's already open.
story.Prologue_Hallway.item_hairpin_on_door_theater.text.4488124fc23f41e74910218471ebba611d64a006,I don't think I need anything from here.
story.Prologue_Hallway.item_hairpin_on_door_theater.text.fd2cdaa9e6fd3f499b5f0061f19162117c1a326f,"I have the key, so there's no point in that."
story.Prologue_Hallway.item_key_on_door_closet.text.3715c0c9b7f1208bc096adccf9820f36c100d219,This key doesn't fit here.
story.Prologue_Hallway.item_key_on_door_theater.text.0e0faa8ef50d64f9e6c614e97cfde531cb0a8012,It's already open.
story.Prologue_Hallway.item_scissors_on_doors.text.da6f295372f6aca924f08c4b293649adc584cf5c,That's not how locks work.
story.Prologue_Hallway.misc_paper1.text.4d9dc26f87315872341fe5d5cfc113cea8daf5fc,"It reads ""No running in the hallways."""
story.Prologue_Hallway.misc_paper2.text.36ea812beecc1445d829ada7b360a448925cca87,A list of safety regulations.
story.Prologue_Hallway.misc_paper3.text.0440f60039bd2cbb31d25fa91e343582939d39b4,The exams schedule.
story.Prologue_Hallway.misc_paper4.text.36ea812beecc1445d829ada7b360a448925cca87,A list of safety regulations.
story.Prologue_Hallway.misc_pinboard.text.6a00b1dceb9edc4e46acc132a8206016f3f7a864,A pinboard with some important school papers.
story.Prologue_Hallway.misc_plaque1.text.7311d93158d555119df085d98b49ac7906a2c793,"""Club Room"""
story.Prologue_Hallway.misc_plaque2.text.f279e954b5d778913de297190b35483fc1e1369b,"""Classroom 3-A"""
story.Prologue_Hallway.misc_plaque3.text.339a9dfa993a9585fddb881b876cf320bafc897f,"""Classroom 3-B"""
story.Prologue_Hallway.misc_plaque4.text.9c276da22370178aae71f9722343278d88b506ff,"""Classroom 3-C"""
story.Prologue_Hallway.misc_plaque5.text.7311d93158d555119df085d98b49ac7906a2c793,"""Club Room"""
story.Prologue_Hallway.misc_trashcan1.text.2ba5d0b4aa448ba9445bf8b57217119036c5e607,An unexciting trash can.
story.Prologue_Hallway.misc_trashcan2.text.38210f804489bf93b819393f276962e093d8766d,A boring trash can.
story.Prologue_Hallway.misc_window_crack.text.354acfcb191c156c2f9bd017ebd07cdb1a36fce1,The window is cracked.
story.Prologue_Hallway.misc_window_crack.text.02f9acad2b7987a13e1f2adcb05910ad3b249b8b,That spooked me...
story.Prologue_Hallway.misc_window_crack.text.480b2a72cdf5f25e24d0e5387d7064bb61074777,This isn't good for my heart...
story.Prologue_Hallway.misc_window_hand.text.24ad6d77cdaea97f6b0d7030c7ecde5f9819fdf2,There's a handprint on the window.
story.Prologue_Hallway.misc_window_hand.text.ed49e1eb73d87d69d3f7578f5386fe55afbfdf73,Was this always here?
story.Prologue_Hallway.misc_windows_exterior.text.d95eee56e500c739aec7fa54839b93ce1ac3c553,The front yard of the school is visible from here.
story.Prologue_Hallway.misc_windows_exterior.text.8ae3bfd3ff8f1a091fb860caf931488ca91b0461,Better stay clear of the windows or someone might see me.
story.Prologue_Hallway.misc_windows_interior.text.7979d2b6150958fdb5076e4cddf75a5a8b35474e,The windows of the classroom.
story.Prologue_Hallway.misc_windows_interior.text.6d87e2f66a8dda674985f5a638f82ecff078192c,I can't see much through them.
story.Prologue_Hallway.move_closet.text.8bbfaac51fdeac34b90b0708bc95d7c6b2fe3ec0,It's locked.
story.Prologue_Hallway.move_closet.text.359590d95487bbd2ed7cd0beb12cb27f3ac49872,It won't open anymore.
story.Prologue_Hallway.move_club_theater.text.753f5ca3aced2535c3e131fe8ebcc421e9ee4cba,This is the Theater Club's room. It's locked.
story.Prologue_Hallway.move_club_theater.text.4488124fc23f41e74910218471ebba611d64a006,I don't think I need anything from here.
story.Prologue_Hallway.move_club_theater.text.06d037a63be7bfec6fb3f1cc485bdfec6c69bf4f,I may be able to find some curtains in there.
story.Prologue_Hallway.move_club_theater.text.0468ce0997d34f7492fb5c0cc162d746de31afea,I wonder if any of the girls is a member of this club.
story.Prologue_Hallway.move_club_theater.text.a0c84ad721136c63f2b0daeb15de41c80d602938,I'm not on great terms with them though...
story.Prologue_Hallway.move_club_theater.text.d6dba0421117222dd14b6773c9a34a4f36bd4907,But I have the key now.
story.Prologue_Hallway.move_club_theater.text.94f34343173746ce312bdb04665ba7066d5e0a83,How am I going to open it now...?
story.Prologue_Hallway.move_club_theater.text.c00daa512a824f9919ad5253b80dc2c6507ea3b4,Maybe I should deliver that notebook.
