,en
story.Prologue_Club_Theater.misc_blankets.text.14221a0010640ed840b311d97766d6caa5bb2f93,They are too heavy to use as curtains.
story.Prologue_Club_Theater.misc_boxes_bottom.text.b53b35f7b7b214674e13481499bef51809a131a7,A large pile of cardboard boxes sealed with tape.
story.Prologue_Club_Theater.misc_boxes_bottom.text.a050b2217b25ad30c8bf0a1dc5cd99506cd4155f,There's nothing else of interest in them.
story.Prologue_Club_Theater.misc_boxes_bottom.choice.text.84afb35a1ba26162173e1a26c2dd9f79ce85ae52,Read the letter?
story.Prologue_Club_Theater.misc_boxes_bottom.choice.5397e0583f14f6c88de06b1ef28f460a1fb5b0ae,Yes
story.Prologue_Club_Theater.misc_boxes_bottom.choice.816c52fd2bdd94a63cd0944823a6c0aa9384c103,No
story.Prologue_Club_Theater.misc_boxes_top.text.aab805103dcdf1a9f9b35a3cb147cb485a241a2f,Some cardboard boxes full of neatly folded costumes.
story.Prologue_Club_Theater.misc_chair.text.cf740baa6a7305c086caac5df6871daa24bd6cde,Chairs. No time to rest right now.
story.Prologue_Club_Theater.misc_chalkboard.text.bcffb737b9bc1ea3d1359f104da6efb0df6a1ff6,A chalkboard. There's a smiley face drawn on it.
story.Prologue_Club_Theater.misc_chalkboard.text.98b19fcaf754dcd6a1a29eafc7e87e37dd006ec6,A chalkboard. The letter F is written on it.
story.Prologue_Club_Theater.misc_chalkboard.text.efd1e7a56ab689e770f9b0cfbc9185dfe1543804,A chalkboard. I can't tell what's drawn on it.
story.Prologue_Club_Theater.misc_chalkboard.text.da4f57539e464e7abbbaac53c8f00ac13f0c0236,A chalkboard. There are stars drawn on it.
story.Prologue_Club_Theater.misc_chalkboard.text.cd74b8208a8586773228bef978f3cf72d07ae731,Did you draw this?
story.Prologue_Club_Theater.misc_chalkboard.text.21b19c9e143790e788896e29f3261d3dc0f89c8d,Do I look like the only member of this club?
story.Prologue_Club_Theater.misc_chalkboard.text.6957adfa2f1a0283214dd319309f179fec3aa41d,So... did you draw this?
story.Prologue_Club_Theater.misc_chalkboard.text.4fc4d2f5bdc5ee1e0e461fdd9af31204cb74d9bf,...Maybe I did.
story.Prologue_Club_Theater.misc_chalkboard.text.47f131607710dd1a6a77acf70086d5e28cc3a091,"A chalkboard. The word ""THIEF"" is written on it."
story.Prologue_Club_Theater.misc_chalkboard.text.6eae3a5b062c6d0d79f070c26e6d62486b40cb46,...
story.Prologue_Club_Theater.misc_chalkboard.text.56a9b34dbefaed4524137f5754f81ee30a98aef9,A chalkboard. There's... something drawn on it.
story.Prologue_Club_Theater.misc_chalkboard.text.46e43c4b711d7e99962a30e1a9a1ad68ea9ccf51,Where did they find red chalk...?
story.Prologue_Club_Theater.misc_curtain_left.text.20afdf017229aa6ca3b6a8440095073b3ba5247e,A soft red curtain.
story.Prologue_Club_Theater.misc_curtain_left.choice.text.d13ef70cd78ecb9ba032b8a548aafe1d24ccc308,Draw curtain?
story.Prologue_Club_Theater.misc_curtain_left.choice.5397e0583f14f6c88de06b1ef28f460a1fb5b0ae,Yes
story.Prologue_Club_Theater.misc_curtain_left.choice.816c52fd2bdd94a63cd0944823a6c0aa9384c103,No
story.Prologue_Club_Theater.misc_curtain_left.choice.text.10c8a40cff7af3e45db4e42e05dea5b462f6796b,Take them out?
story.Prologue_Club_Theater.misc_curtain_right.text.20afdf017229aa6ca3b6a8440095073b3ba5247e,A soft red curtain.
story.Prologue_Club_Theater.misc_curtain_right.choice.text.10c8a40cff7af3e45db4e42e05dea5b462f6796b,Take them out?
story.Prologue_Club_Theater.misc_curtain_right.choice.5397e0583f14f6c88de06b1ef28f460a1fb5b0ae,Yes
story.Prologue_Club_Theater.misc_curtain_right.choice.816c52fd2bdd94a63cd0944823a6c0aa9384c103,No
story.Prologue_Club_Theater.misc_drawers_1.text.4f2c5673295af6dbdc4a2ccd0b5d0a6f92bce3ba,There's some paint and brushes in the drawer.
story.Prologue_Club_Theater.misc_drawers_2.text.59dce0f7c5de1580b9238379b4898b408008e247,There are various makeup kits and accessories in the drawer.
story.Prologue_Club_Theater.misc_light_switch.text.03e21049391c155d4c0a62dead0eb29c4107d62e,It's not working.
story.Prologue_Club_Theater.misc_light_switch.text.63f85997a2c16bddedb856bf36d64924274dcb81,It's not working anymore.
story.Prologue_Club_Theater.misc_rack_clothes.text.7be4744f300ce4576c18d20d720add8ace3bb679,Several hand made costumes are hanging from the rack.
story.Prologue_Club_Theater.misc_rack_clothes.text.34dc5c46b0dbe7f66d37fcadf0b7edf3eb64e3b9,"Blegh, they have poor taste in clothes."
story.Prologue_Club_Theater.misc_rack_clothes.text.dcb3b825ca9bde777dbf253e73cd4ded127755ad,"You DO know these are for acting, right...?"
story.Prologue_Club_Theater.misc_rack_hats.text.438986c1a54778b49c4bcd93d2bf979d034a39c2,A rack with various hats and scarves.
story.Prologue_Club_Theater.misc_table.text.bcb31be9dfe6af0962439b25adead3ff05c7d73b,A table with a blank sheet of poster paper and some colored pencils.
story.Prologue_Club_Theater.misc_table.text.b41d4fbd59f3a95b03a98e76208a90cef215c98b,Is this what you do here?
story.Prologue_Club_Theater.misc_table.text.9fb1930b4d344ba2eb5d009cf966acae52b5befc,"If it's a drawing club, maybe I'll join, too."
story.Prologue_Club_Theater.misc_table.text.306cd66020925bf21e6fa707760531b6abd47114,Please don't.
story.Prologue_Club_Theater.misc_trashcan.text.c44c819af534af24b10b545fe6b94da3f3c6ba49,There's really no incentive to check out the contents of the trash can.
