,en
story.Prologue_Ending_K7_3.misc_ending.text.deff0e9f3d4be7227935b09e148bf50963d6f926,If it works then… I should definitely finish it.
story.Prologue_Ending_K7_3.misc_ending.text.4a19202490b32a8ed5c48e7e490d11198360e42c,"Kat, what are you saying…?"
story.Prologue_Ending_K7_3.misc_ending.text.564fa9b5e036ab452b95eb88a75818c0b9d4d19e,"Sorry, but I can't listen to this person. I have my reasons for doing this."
story.Prologue_Ending_K7_3.misc_ending.text.68f04ba1456216481752605fac39f4c8c28a4696,I don't know how much you value what you have right now but…
story.Prologue_Ending_K7_3.misc_ending.text.4c4f3e42a131aed78e13eb9c1d17f87e54ffd047,"If you continue down this path, you'll lose everything."
story.Prologue_Ending_K7_3.misc_ending.text.dbf2510d609bc00509491b550ff7d77a6122b35d,"Everything you hold dear, and everything you don't."
story.Prologue_Ending_K7_3.misc_ending.text.b3b761edd76bd78683eedb4db10b2f74632a9fed,Your questions will not receive any satisfying answers…
story.Prologue_Ending_K7_3.misc_ending.text.38cbb9bf602fcc5f484198170fadc34929bfbeb1,And everything you know about the world will turn meaningless.
story.Prologue_Ending_K7_3.misc_ending.text.dc4194a283bda5492f90ba9edf0779ab193ecc2e,Those three.
story.Prologue_Ending_K7_3.misc_ending.text.44c582df70cc6e653adf2cf0df3f29fd1b6e16ca,…?
story.Prologue_Ending_K7_3.misc_ending.text.2a3b7c4a49ec67117957fb0e0249dff3d47b0acd,"Are you willing to sacrifice their lives for your so-called ""reasons""?"
story.Prologue_Ending_K7_3.misc_ending.text.f4318de916780c4011e8b35caa89f4ea6f318fd8,Lives…?
story.Prologue_Ending_K7_3.misc_ending.text.19f4a7dc05067a0d6a5f864c9b9f02e4904b1dae,"Furthermore, your own life."
story.Prologue_Ending_K7_3.misc_ending.text.dc12f18994a91882690d5a4ff926d6e458f28fcb,Are you wiling to die for the answers you're seeking?
story.Prologue_Ending_K7_3.misc_ending.text.625a32cccec2c4729a7d073480ee56bb6067571f,"Let's go back, Kat."
story.Prologue_Ending_K7_3.misc_ending.text.4587521ed78cf1d9e7fcb3d5b516307dac87b452,I want to leave…
story.Prologue_Ending_K7_3.misc_ending.text.e02b66bf124abff6d7c77d582e07fb3e463a2762,I don't believe you. Why don't you just give me my answers yourself then? Spare me the trip.
story.Prologue_Ending_K7_3.misc_ending.text.188474bf1b2200c379001d4b77822d72c9a1249d,I thought so.
story.Prologue_Ending_K7_3.misc_ending.text.f033d918b9f44edfe78022e5e8e9635b2895ccab,I've said what I needed to.
story.Prologue_Ending_K7_3.misc_ending.text.d0b9dce1f9b3f3c76e379ccc415c7a245626edf8,Why? Who are you?
story.Prologue_Ending_K7_3.misc_ending.text.6e4923cdb63423c529eb18a335079cf11fea4558,Just someone who has seen too many humans die.
story.Prologue_Ending_K7_3.misc_ending.text.78c632b9d9ae820d1d6290f582300e0e2209c1aa,It would sadden me to add you four to the pile.
story.Prologue_Ending_K7_3.misc_ending.text.11308c85dc1385569c40db1a535c3e60db08da4a,"Go home, Kat."
story.Prologue_Ending_K7_3.misc_ending.text.df038954878cd49220724608e781a86d53083709,Can't you feel it in the air here? You're all in danger.
story.Prologue_Ending_K7_3.misc_ending.text.263f5170d989024c9f9f0b47bf1b1ff277373ae8,"Kat, please, this feels too dangerous…"
story.Prologue_Ending_K7_3.misc_ending.text.076af39e96469e9de0023916aa235560f4ca289d,"Kat, let's just go."
story.Prologue_Ending_K7_3.misc_ending.text.b9446951077ccd6557f74cc50aea390e5b11a0f3,"Yeah, let's get out of here. I didn't sign up for this."
story.Prologue_Ending_K7_3.misc_ending.text.cf19d135223f935f5f76b6918a1086c2f4e93e62,"Kat, we don't want something bad to happen to you."
story.Prologue_Ending_K7_3.misc_ending.text.462ec874c573b65f09b8fded2ffac12ad3fbc984,"Fine, let's go."
story.Prologue_Ending_K7_3.misc_ending.text.4abfd9ef0f54c0a0baf6b551551d8711b339fe3b,Are you by any chance the same person from my dream earlier today?
story.Prologue_Ending_K7_3.misc_ending.text.5fb35283aaca4a06f38fe881fe74384771a51697,A dream…?
story.Prologue_Ending_K7_3.misc_ending.text.231e086edc0d3c14b1820291f5b5532dbeee9ef1,It must have been your subconscious warning you as well.
story.Prologue_Ending_K7_3.misc_ending.text.da0f976bec77533dc2cf275558c340d253799830,…I see.
story.Prologue_Ending_K7_3.misc_ending.text.bd1b2296a3efb34cccfb9c34842b9da4ba55939b,(Oh.)
story.Prologue_Ending_K7_3.misc_ending.choice.text.0f191db739ceeb5699b40bc0137c574af753db9c,(Should I give this person the blueprints I found…?)
story.Prologue_Ending_K7_3.misc_ending.choice.5397e0583f14f6c88de06b1ef28f460a1fb5b0ae,Yes
story.Prologue_Ending_K7_3.misc_ending.choice.816c52fd2bdd94a63cd0944823a6c0aa9384c103,No
story.Prologue_Ending_K7_3.misc_ending.text.34b13f386f35252c1bb32e4b4540b450585c87d4,By the way…
story.Prologue_Ending_K7_3.misc_ending.text.d054cb185bf0682525048d1912ddc706e14e0f33,I found these weird blueprints a few minutes ago.
story.Prologue_Ending_K7_3.misc_ending.text.61c4e96e8e749ca1a28981b6a4aa34575c590c3b,Just take them.
story.Prologue_Ending_K7_3.misc_ending.text.36d5e5a67f803063f700fe555786561d83acc249,Otherwise I might change my mind.
story.Prologue_Ending_K7_3.misc_ending.text.d40601d252b22b57db120b13eeecc0c4e1f347d2,Huh… this is…
story.Prologue_Ending_K7_3.misc_ending.text.174534c6b3882921f07bb41f7a29c9824d9b171b,Thank you.
story.Prologue_Ending_K7_3.misc_ending.text.5a392f4ad825d44a77678c0272478dc7e79fa4b7,"You're doing the right thing, Kat. Your father would be glad."
story.Prologue_Ending_K7_3.misc_ending.text.fc0b7c296bf91dd1b67c129c5f558089da7b3735,It's okay to accept the life you're left with. Don't destroy it.
story.Prologue_Ending_K7_3.misc_ending.text.210180c5c838a174787efc57bb7a75aecb6b341e,…I guess.
story.Prologue_Ending_K7_3.misc_ending.text.ee84353ce05e47d67d16a00954068ca1bd47812d,Kat!!!
story.Prologue_Ending_K7_3.misc_ending.text.904e87689ff246ecf50887af9d023cea1f8a6e78,Go already. You can't be here.
story.Prologue_Ending_K7_3.misc_ending.text.9dcb488326b6e6e317df684b1f00f38f6e2ef215,If what you said is true…
story.Prologue_Ending_K7_3.misc_ending.text.9a4b23e4169f4dc872e15e97b0572492eef02a40,Then thanks.
story.Prologue_Ending_K7_3.misc_ending.text.ff39528f1bd570dd8305acfe8b2960b4cfc0a522,I'll pass on the ritual.
story.Prologue_Ending_K7_3.misc_ending.text.3bbf36daa63b44029f28edb2d862ca650675656c,For tonight.
story.Prologue_Ending_K7_3.misc_ending.text.a9083d9433980028904800ac4a0a98e6831bbe3c,That's good enough.
story.Prologue_Ending_K7_3.misc_trashcans.text.b407f58f78653d921be22a788a50e81828e6acfa,A large pile of trash cans. They all seem to be empty.
